tts,weights
1.342869e+03,6.684770e-04
1.294815e+03,6.549074e-04
5.767643e+02,6.398327e-04
5.544516e+02,6.348429e-04
5.757164e+02,6.428556e-04
5.544516e+02,6.348429e-04
1.413451e+03,6.862890e-04
1.358984e+03,6.683825e-04
1.404103e+03,6.862890e-04
1.350911e+03,6.683825e-04
6.142750e+02,6.437113e-04
5.884614e+02,6.316927e-04
6.135383e+02,6.398327e-04
5.884614e+02,6.316927e-04
1.464257e+03,6.838398e-04
1.400813e+03,6.705489e-04
1.459346e+03,6.838398e-04
1.397562e+03,6.705489e-04
6.476267e+02,6.607765e-04
6.167598e+02,6.437113e-04
6.477742e+02,6.541008e-04
6.167598e+02,6.437113e-04
1.512302e+03,6.782805e-04
1.433002e+03,6.811401e-04
1.509696e+03,6.811401e-04
1.433046e+03,6.748903e-04
6.778176e+02,6.719729e-04
6.408545e+02,6.722634e-04
6.795428e+02,6.607765e-04
6.409538e+02,6.546213e-04
1.570617e+03,6.661196e-04
1.464762e+03,6.782805e-04
1.563508e+03,6.791492e-04
1.466215e+03,6.782805e-04
7.054744e+02,6.870608e-04
6.590537e+02,6.958634e-04
7.088747e+02,6.719729e-04
6.602969e+02,6.722634e-04
2.084896e+01,6.820005e-04
2.084896e+01,6.820005e-04
2.084896e+01,6.820005e-04
2.084896e+01,6.820005e-04
1.641221e+03,6.386504e-04
1.499879e+03,6.752711e-04
1.626442e+03,6.661196e-04
1.500942e+03,6.752711e-04
7.327712e+02,7.050214e-04
6.739247e+02,7.241048e-04
7.374898e+02,6.870608e-04
6.766610e+02,6.958634e-04
5.385710e+01,7.203680e-04
5.385710e+01,7.203680e-04
5.385710e+01,7.203680e-04
5.385710e+01,7.203680e-04
1.746180e+03,6.011469e-04
1.560134e+03,6.389825e-04
1.714347e+03,6.386504e-04
1.551073e+03,6.524997e-04
7.679962e+02,6.963978e-04
6.893033e+02,7.244568e-04
7.699151e+02,6.884887e-04
6.923771e+02,7.050214e-04
8.925605e+01,7.449838e-04
